@RELATION CommOps
@ATTRIBUTE text string
@ATTRIBUTE ModalVerbSignal {shall, will, may, might, can, must, could, would, should, requested, please, none}
@ATTRIBUTE ActionVerbSignal {yes, no}
@ATTRIBUTE TypeOfSubject {first, second, third, none}
@ATTRIBUTE NegativeVerbSignal {yes, no}
@ATTRIBUTE presentTenseVerbSignal {yes, no}
@ATTRIBUTE pastTenseVerbSignal {yes, no}
@ATTRIBUTE debtorPresent {yes, no}
@ATTRIBUTE creditorPresent {yes, no}
@ATTRIBUTE delegationSignal {yes, no}
@ATTRIBUTE deadlineSignal {yes, no}
@ATTRIBUTE createCommitmentPresent {yes, no}
@ATTRIBUTE bigramModalSecond {yes, no}
@ATTRIBUTE bigramFirstModal {yes, no}
@ATTRIBUTE bigramPleaseAction {yes, no}
@ATTRIBUTE questionMarkPresent {yes, no}
@ATTRIBUTE class {create, icreate, discharge, cancel, delegate, none}

@DATA
"Kim, By italian maritime law, I must have everyones passport names andages.",must,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"With the credit card nbrs, I will need exp date and cardholder name, address and phone.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks.Dee Espinoza Travel Agency in the Park1221 Lamar, ste 718Houston, Tx 77010713-860-1176 - direct line713-650-7022 - fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Yes, Perry will help you.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Please reply via e-mail with other specifics you might have such as flow and pressure requirements.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"EF ext. 33395",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Lorraine,Do we need to put this in the 2002 Capital Budget?",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,yes,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Eric - Duke wants to begin working on logistics for a power plant off TW in Curry County NM.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Can you assign a Facility Planner to work with me in determining exact location and cost estimates for tie-in.",can,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,no,icreate
"The approximate location is the southern 1/2 of Sec 17, T1N, R36E.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Duke is quite anxious to get moving on a cost estimate.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks in advance.Lorraine",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Because both Kim and Michelle are taking a 1/2 day of vacation on Friday afternoon, we ask that you submit your bullets to Kim by 3:00p Thursday afternoon.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Kim, by the way, also has an offsite meeting on Friday morning and will have a difficult time compiling bullets for Steve by 11:00a.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We apologize for any inconvenience this may cause.",may,no,first,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks again,Audrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey, you are so kind.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thank you for driving this for me!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"K.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"In order to accommodate different travel schedules, and to have an opportunity to visit with each company separately and then together, we have developed the following schedule for meetings: 10:00 a.m. - Meeting with Questar and TransColorado 11:00 a.m. - Meeting with Questar and Williams 12:00 p.m. - Group Lunch 1:00 p.m. - TransWestern arrives/Site visit with entire group1:30 p.m. - Meeting with Questar and TransWestern(Dress will be casual.)Questar will provide morning refreshments and lunch at the Williams meeting place.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"We wish to thank the Williams people for allowing us to use the facility.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We hope this schedule will work for all parties.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"If you have any questions or concerns, please call either Jodi Starley at (801) 324-2082, or Gaylen Haag at (801) 324-5133.",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Also, attached is a map with directions to the Blanco site for those out of town visitors who may need it.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks again for your cooperation and we look forward to our visit.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Tiny, Jeff and Mansoor,Please see the schedule for our meeting with Questar on Tuesday.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Mansoor and I will be arriving into Farmington from Albuquerque at 12:40.",will,yes,third,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"We can meet you guys at the Williams plant site near the 1:00 timeframe.",can,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Jeff, I apologize that I have not spoken with you yet about a possible interconnect with Southern Trails, I will try to call you tomorrow so we can discuss.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"If you schedule permits, I would very much like for you to attend this meeting with us.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Many thanks, Kim Watson",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Steve,FYI, I am still interviewing candidates.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Fran is actually trying to set up about 7 interviews for me.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I will keep you posted.Thanks, Kim.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Kim,As of today, the following interviews have been scheduled in response to the Account Director position...Brian Kinsey		Monday, August 20th	10amAlok Garg		*declined interviewMark McConnell	1st attempt of contact, awaiting responsePlease let me know if you have any questions.Thanks!",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Kristin PassmoreSr HR AsstEnron Transportation Services713-853-7191",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Larry, here they are.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Also, have your technical analysis handy.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, K.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The Aggie game is 9/29, not 9/22, so were out...Brenda is checking to seeif we can go to the Iowa State game on 10/27, 1 p.m. game.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Interested?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"I think this date looks good.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"K.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Martha,What is this?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"I thought Bobby was permanent many months ago?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"What did I miss?",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,yes,none
"K.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"From the Desk of Lee FerrellI am very pleased to announce that Bobby Mason has recently accepted a permanent position as Account Director in the Risk Management & Reporting Group reporting to me.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"As a contract employee since June 2000 Bobby has been instrumental in the development and implementation of Dashboard and Pipeline Profile.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"He will continue to be involved in the further development of these products.Bobby has a broad energy background including Gas Supply, Transportation, Operations, Trading and Origination.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"He has both retail and wholesale gas and power experience.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Prior to Enron, Bobby worked for Transco/Williams for 13 years.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"His last position was Senior Account Director for Williams where he was responsible for Gas & Power Origination.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Bobby has a B.B.A. in Marketing from the University of Houston.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please join me in welcoming Bobby to the Group.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"FYI---------------------- Forwarded by Dan S Miller/EWC/Enron on 08/16/2001 11:37 AM ---------------------------    	  From:  Dan S Miller                           08/16/2001 11:22 AM			To:	Janusz Ozog/EWC/Enron@Enron, David Skousen/EWC/Enron@ENRON, Scott Winneguth/EWC/Enron@ENRON, Joe Bordwell/EWC/Enron@ENRONcc:	Jim Wallace/EWC/Enron@Enron, Dennis Graham/EWC/Enron@ENRON, Janet Stautz/EWC/Enron@Enron Subject:	Open NCMRsThe following folders have open NCMRs in them.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please review your folder an take the necessary action to complete the NCMR.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"If you need assistance, please contact the Quality Manufacturing Department.",please,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Engineering:  	TwoMFG Engineering: SixProcurement: SixPlanning: TenReceiving: Five <Embedded Picture (Device Independent Bitmap)>",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Dan,I do not understand what this message means.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Please advise.",please,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Effective August 16th, 2001, the ETS Deal Capture Team will help process all firm agreements on TW.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"All requests for firm service should continue to go to Michelle or Dennis for the base agreement processing; however, the Marketer should complete and forward a deal sheet (attached) for completion of the discount amendment and for us to obtain the appropriate approvals.",should,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Deal Capture will also tender the agreements and hand partially executed deals to Contracts for activation.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"As time permits, we will reconstruct the TW Firmbook listing of all active agreements by production month.",will,yes,first,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,create
"Please let me know if you have any questions or concerns.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Craig",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey,Here are our bullets for the week.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"KimWhat do you think about this schematic.Mansoor",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim/Morgan:	The pottery is finally HERE!!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please let me know when you would like me to deliver your pottery.",would,yes,third,no,yes,no,yes,no,no,no,no,no,yes,no,no,create
"Thanks SashaSasha DivelbissETS - HR AnalystWk(713)345-8714sasha.divelbiss@enron.com",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please find attached a blank Evaluation form for exempt employees.If you have any questions about completing this form, please contact your HR Rep.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"John,  I will be travelling on Wednesday with Mansoor to see Questar and Agave and will not be in the office to attend this meeting.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I would like to ask Lorraine Lindberg to be involved in this meeting in my absence.",would,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Lorraine, would you be available to attend this meeting for our team regarding capacity on the mainline?",would,yes,second,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,icreate
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Pilar and Martha,I am sorry I will be unable to attend.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I do not return to town until Wed. evening.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, I forwarded your message on to Kim Watson, she is the new director for the TW marketing group.kh",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"Confirming our conversation to meet next week to discuss the TW Deal Profitability/Analysis Model, I am free all week.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I would also like to invite Ben Asante too.ThanksKim Kouri",would,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"I will ask Audrey to coordinate our calendars for marketing.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"We will let you know.",will,no,none,no,yes,no,yes,yes,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kimberely, please let me know what date and time are good for you.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"ThanksKim",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Audrey, any luck on getting a date and time to meet with Kimberly Watson for about half an hour on the TW Deal Profitability/Analysis Model?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Kim, I will get with Kim Watson this morning and finalize a date and time.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"adrAudrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, I will be out of the office today starting at 1 p.m. and returning Thursday a.m.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Either day looks good to me, however I am on jury duty starting Monday Sept. 10th.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I will give you a call.ThanksKim --- [Kouri, Kim]   --Original Message-----From: 	Robertson, Audrey  Sent:	Tuesday, September 04, 2001 3:05 PMTo:	Kouri, KimSubject:	RE: Meeting on TW Deal Profitability/AnalysisKim, Kim Watson would like to know if you are available to meet on next week, Tuesday, pm or Wednesday, pm.",will,no,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"She expects that more of her group will be in and able to attend as well.Just call me, x35849.Thanks for your patience Kim.adrAudrey D.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim and Kim, pleae note, Wednesday, September 12, 3:00 p.m. has been scheduled for your TW Deal Profitability/Analysis meeting.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please meet in EB-4180.adrAudrey D.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"RobertsonTranswestern Pipeline Company email address:  audrey.robertson@enron.com(713) 853-5849(713) 646-2551 Fax",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please plan to meet on Wed.",please,yes,third,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,icreate
"(see below) to discuss the Deal Profitability Analysis with Kim Kouri.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"PS.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Sean, please forward this to Richard.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"For some reason, I could not find him in the email directory.",could,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Mark and Paul, It would be good to set up a time to demo this model.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"In fact, I would like to attend with you, since I havn't seen it for almost a year.",would,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim, Here is the confirmation for your hotel in Chicargo.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thank you for choosing Hilton Hotels.We look forward to having you as our guest atCHICAGO PALMER HOUSE HILTON.Confirmation Number: 3133354400Hotel Address: CHICAGO PALMER HOUSE HILTON               17 East Monroe Street               Chicago, IL 60603               UNITED STATESHotel Phone:   1/312/726-7500	Hotel fax:     1/312/917-1707Guest Name:    KIMBERLY  WATSON               1400 SMITH ST.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"HOUSTON TX               77002 USHHonors:       Travel Agent:  Company:       Room InformationArrival:           Sunday 23rd September 2001Number of Nights:  2Number of Rooms:   1Room Type:         HILTON GUEST ROOM, Non SmokingNightly Rate:      279.00 USD American Dollars, plus tax & service charge                   where applicable.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Adults:            1Children:          Guarantee & Cancellation Information:   Your reservation is guaranteed for late arrival.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Should you need to   cancel please contact us before 4pm on Sunday 23rd September 2001 local   property time to avoid cancellation penalties.Any change to the arrival date, departure date, or room type of this reservation is subject to the hotels availability at the time the change is requested and may result in a possible rate change.",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Make reservations or cancellations by calling 1-800-HILTONS in the U.S. andCanada or Hilton Reservations number in your area.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Alternatively contactany Hilton hotel, or visit us at http://www.hilton.com.To contact us via email, please send a message tomailto:hiltonnet@hiltonres.comMessage# HL323910",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Hi Cheri.Attached is the spreadsheet for the negotiated rate deal between Astraand TW through August 20th.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please review and let me know if you find any discrepancies.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"<<Astra_August.xls>>Jan MooreEnron Transportation Services713-345-3858jan.moore@enron.com**********************************************************************This e-mail is the property of Enron Corp. and/or its relevant affiliate andmay contain confidential and privileged material for the sole use of theintended recipient (s).",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Any review, use, distribution or disclosure byothers is strictly prohibited.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"If you are not the intended recipient (orauthorized to receive for the recipient), please contact the sender or replyto Enron Corp. at enron.messaging.administration@enron.com and delete allcopies of the message.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This e-mail (and any attachments hereto) are notintended to be an offer (or an acceptance) and do not create or evidence abinding and enforceable contract between Enron Corp.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"(or any of itsaffiliates) and the intended recipient or any other party, and may not berelied on by anyone as the basis of a contract by estoppel or otherwise.Thank you",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
".",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"**********************************************************************",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jan, sorry it took me so long to get back to you but we match exactlythrough the 20th.",none,no,third,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,discharge
"There are no discrepancies at all!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Yeah!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"FYI.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Received the following message from Cheri.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Looks like we are in agreement through the 20th.Jan",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jan,Thank you for keeping this up to date!",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"I have a tentative meeting scheduled from 9:00 - 9:30.",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,no,none
"I will attend this meeting if possible.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"I have invited Michelle Lokay to sit in for the commercial group.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"John - Please advise both Michelle and me of the location for this meeting.",please,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Thanks.Lorraine,",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"How was this meeting?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"Any additional capacity identified?",none,no,none,no,no,yes,no,no,no,no,no,no,no,no,yes,none
"Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Presidential Task Force on Oil spillage,DepartmentofPetroleum Resources,Victoria Island,Lagos Nigeria.BUSINESS PROPOSAL WORTH$31.8 MILLION DOLLARSSTRICTLYCONFIDENTIAL  Dear Sir,This proposal is coming to you with the ardent beliefthat you will take advantage of our goodwill and outof our desperation to have a trusted foreign partnerwhom we can entrust our funds with for safekeeping.This is not a fairy tale but for real.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"I amDr.Dandyson Openam, the secretary to thePresidentialTask force onOil spillage in my country.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We are the 6th largestproducer of crude oil in the world and more often thannot, we always experience oil spillage in the NigerDelta region of my country.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"These spillage causes alot of havoc to inhabitants of the community and hencecontracts are awarded especially to foreign firms toclean and mop up the spilled crude oil from the areasaffected.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"The spillage sometimes cover severalkilometres and the value of contract also runs intomillions of dollars.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Between 1999 to 2000, somecontracts were awarded to a conglomerate of foreignfirms by  my committee.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"While awarding thesecontracts, we have taken time to deliberately overinvoice one of them to the tune of $31.8m ( Thirtyone million, eight hundred thousand dollars)What we did was to in addition to the originalcontract sum, revaluate and approve this amountseparately and it is presently lying idle in asuspense account with our apex bank here in Nigeria.This amount by all standard now belongs to us but wecannot claim it because it has been made to appear inthe ledger as belonging to a foreign contractor.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Whatwe desire at this moment is to have this fundstransferred into a foreign account but being civilservants who are still in active government service,we are barred from maintaining bank accounts overseas.Thus we have decided to solicit your assistance with aview to going into a joint partnership to get thisfund out from the bank.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"At this juncture, we want youto provide us with a bank account where this fund canbe transferred into first and thereafter, we wouldcome over to your country to take possession of ourshare where we hope to invest part in profitableventures with you as our adviser.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"We would like toinform you that the nature of your business orprofession at this point is immaterial  because in allover the world, bigger firms after bidding for andwinning some contract especially in a third worldeconomy like ours, do subcontract part or whole of thecontract to other firms for execution.",would,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"It could alsobe carried out in any capacity as an individual.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"So,you or your organization, having the status of asubcontractor , with proper documentation, can file anapplication for the payment of this fund in your nameand into your bank account.",can,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"We have agreed inprinciple to share this fund in these ratio: 74.5%will be for my colleagues and I, 25% will be given toyou for your assistance and .5% has been earmarked totake care of any expenses during the course of thistransaction.",will,no,none,no,yes,no,yes,yes,no,no,no,no,no,no,no,none
"All modality for the smooth transfer ofthis fund has been worked out and it meets all legaland administrative requirement in Nigeria asapplicable to foreign contractors payment in the past.If your response is in the affirmative, within aperiod of two weeks or 10 working days, this fundwould have been confirmed and transferred into youraccount.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We have taken the risk aspect of it intoconsideration and I want to assure you that it isactually risk free as the contract will be re-awardedin your name before the application will be made.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Wewill follow the procedures systematically withflawless documentation.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"This is authentic.If you feel you will be of assistance and abeneficiary from this largesse,kindly send a reply tothis mail to that effect and I will oblige you withmore information as to the smooth take off andconclusion of this once in a lifetimeopportunity.Thanks.Your sincerely,Dr.Dandyson Openam.",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"____________________________________________________________Do You Yahoo!?",none,no,none,no,no,no,no,no,no,no,no,no,no,no,yes,none
"Get your free @yahoo.co.uk address at http://mail.yahoo.co.ukor your free @yahoo.ie address at http://mail.yahoo.ie",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Jean,Another fraud.....Thanks, Kim.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Martha,Steve Gilbert said that we do not have to run a RAROC on the discretionary capital budget items.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Im sure this is the case with TW as well.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The $2MM for NNG is itemized in the attached spreadsheet under discretionary pool.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Lee:  Here is a copy of the 2002 Capital Plan reviewed with McCarty today.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We will change the Revenue Management to Risk Management and ReportingBill: Let me know if you have any questions",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Kim:  I got your voice mail and will take a look at the path you described.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"It most likely will be this afternoon,  I will call you later.PT 3-0667",will,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"Following- up on our conversation regarding mercaptan sulfur on Agaves gas:TW- Gas Quality requirements:	Shall not contain not more than .3 grains mercaptan sulfur per one 100 cubic of gas.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Their letter indicates that it is more than 0.3 grains/ 100 cf.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Therefore we have to tell them to treat the gas or TW has to install an instrument like Delmar 7200 with                     on -off shut- in devices to monitor the mercaptan in the gas at the receipt point.Again, this is from the planning point of view and perhaps we need to talk to Operations also.",none,no,none,no,yes,yes,no,no,no,no,no,no,no,no,no,none
"Mansoor",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Robert Attached is a marketing project for an I/C for TW.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please route for approvals.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"The Marketing rep is Kim Watson.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Thanks Earl",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Steve and Teb(for Steve Veach), Please review the attached work order for the tap and side valve for the new Agave interconnect.",please,yes,second,no,yes,no,yes,yes,no,no,no,no,no,yes,no,icreate
"Steve and Teb(for Steve Veach), Please review the attached work order for the tap and side valve for the new Agave interconnect.",please,yes,second,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,delegate
"Please forward an email message to Robert Geheb giving him your approval on this work order so that he may begin working with the appropriate people to get the materials ordered.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"We are under a very tight time frame and we don't want to loose anytime.",none,no,none,no,yes,no,no,no,no,no,no,no,no,no,no,none
"The paper will follow to you shortly for signiture, but this email approval will keep the process moving.",will,yes,third,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"Also, as soon as we work out the remaining details with Agave on the remaining costs, we will revise the work order to include the items that Agave will be constructing for us as well as provide the economics for the interconnect.",will,yes,first,no,yes,no,yes,yes,no,no,no,no,yes,no,no,create
"This, too, will be routed to you for your approval.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
"Please let me know if you have any questions.",none,no,none,no,no,no,no,no,no,no,no,no,no,no,no,none
